[WARNING] MI(1507537:140183177680704,MainProcess):2022-08-09-20:37:46.495.130 [MINDCONVERTER] [DEPRECATED] AST conversion would be removed in following version.
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.754.482 [MINDCONVERTER] Line 197 start converting API: torch.cat
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.756.654 [MINDCONVERTER] Line 205: start converting nn.Module RSU5
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.756.736 [MINDCONVERTER] Line 207: start converting function __init__()
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.758.917 [MINDCONVERTER] Line 213 start converting API: nn.MaxPool2d
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.761.670 [MINDCONVERTER] Line 216 start converting API: nn.MaxPool2d
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.764.224 [MINDCONVERTER] Line 219 start converting API: nn.MaxPool2d
[DEBUG] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.767.760 [MINDCONVERTER] RSU5.forward is a forward function
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.767.833 [MINDCONVERTER] Line 230: start converting function forward()
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.770.573 [MINDCONVERTER] Line 248 start converting API: torch.cat
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.773.438 [MINDCONVERTER] Line 251 start converting API: torch.cat
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.776.293 [MINDCONVERTER] Line 254 start converting API: torch.cat
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.779.240 [MINDCONVERTER] Line 257 start converting API: torch.cat
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.781.432 [MINDCONVERTER] Line 265: start converting nn.Module RSU4
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.781.512 [MINDCONVERTER] Line 267: start converting function __init__()
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.783.693 [MINDCONVERTER] Line 273 start converting API: nn.MaxPool2d
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.786.241 [MINDCONVERTER] Line 276 start converting API: nn.MaxPool2d
[DEBUG] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.789.462 [MINDCONVERTER] RSU4.forward is a forward function
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.789.536 [MINDCONVERTER] Line 286: start converting function forward()
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.791.903 [MINDCONVERTER] Line 301 start converting API: torch.cat
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.794.769 [MINDCONVERTER] Line 304 start converting API: torch.cat
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.797.609 [MINDCONVERTER] Line 307 start converting API: torch.cat
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.799.798 [MINDCONVERTER] Line 313: start converting nn.Module RSU4F
[DEBUG] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.799.886 [MINDCONVERTER] RSU4F.forward is a forward function
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.799.956 [MINDCONVERTER] Line 330: start converting function forward()
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.801.921 [MINDCONVERTER] Line 341 start converting API: torch.cat
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.804.568 [MINDCONVERTER] Line 342 start converting API: torch.cat
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.807.067 [MINDCONVERTER] Line 343 start converting API: torch.cat
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.809.095 [MINDCONVERTER] Line 349: start converting nn.Module U2NETFAST
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.809.174 [MINDCONVERTER] Line 351: start converting function __init__()
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.810.794 [MINDCONVERTER] Line 354 start converting API: nn.Conv2d
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.813.957 [MINDCONVERTER] Line 358 start converting API: nn.MaxPool2d
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.816.492 [MINDCONVERTER] Line 361 start converting API: nn.MaxPool2d
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.819.027 [MINDCONVERTER] Line 364 start converting API: nn.MaxPool2d
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.821.558 [MINDCONVERTER] Line 367 start converting API: nn.MaxPool2d
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.824.092 [MINDCONVERTER] Line 370 start converting API: nn.MaxPool2d
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.827.825 [MINDCONVERTER] Line 381 start converting API: nn.Conv2d
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.830.493 [MINDCONVERTER] Line 382 start converting API: nn.Conv2d
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.833.526 [MINDCONVERTER] Line 383 start converting API: nn.Conv2d
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.836.251 [MINDCONVERTER] Line 384 start converting API: nn.Conv2d
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.838.899 [MINDCONVERTER] Line 385 start converting API: nn.Conv2d
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.841.548 [MINDCONVERTER] Line 386 start converting API: nn.Conv2d
[DEBUG] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.843.754 [MINDCONVERTER] U2NETFAST.forward is a forward function
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.843.825 [MINDCONVERTER] Line 394: start converting function forward()
